team_id,team_name,id,name,positionId,shirtNumber,member_photo,height,age,dateOfBirth,ccode,cname,role.fallback,rating,goals,penalties,assists,rcards,ycards,positionIds,positionIdsDesc,transferValue,injured,injury.id,injury.expectedReturn,team_logo
8255,Austria,557325.0,Stefan Posch,1.0,5.0,https://images.fotmob.com/image_resources/playerimages/557325.png,190.0,29.0,1997-05-14,9905,Mainz 05,Defender,6.22,0.0,0.0,0.0,0.0,1.0,"35,32","CB,RB",5175396.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/9905.png
8255,Austria,121633.0,David Alaba,1.0,8.0,https://images.fotmob.com/image_resources/playerimages/121633.png,180.0,34.0,1992-06-24,8633,Real Madrid,Defender,7.2,0.0,0.0,1.0,0.0,0.0,36,CB,1722108.0,True,121,Doubtful,https://images.fotmob.com/image_resources/logo/teamlogo/8633.png
8255,Austria,643724.0,Philipp Lienhart,1.0,15.0,https://images.fotmob.com/image_resources/playerimages/643724.png,185.0,29.0,1996-07-11,8358,Freiburg,Defender,6.59,0.0,0.0,0.0,0.0,0.0,36,CB,6913990.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/8358.png
8255,Austria,526827.0,Konrad Laimer,1.0,20.0,https://images.fotmob.com/image_resources/playerimages/526827.png,180.0,29.0,1997-05-27,9823,Bayern München,Defender,6.71,0.0,0.0,1.0,0.0,1.0,"32,38,64,83","RB,LB,CDM,RW",33619039.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/9823.png
8255,Austria,767789.0,Marco Friedl,1.0,23.0,https://images.fotmob.com/image_resources/playerimages/767789.png,187.0,28.0,1998-03-16,8697,Werder Bremen,Defender,6.1,0.0,0.0,0.0,0.0,0.0,"36,38","CB,LB",13330440.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/8697.png
8255,Austria,951921.0,Michael Svoboda,1.0,25.0,https://images.fotmob.com/image_resources/playerimages/951921.png,195.0,27.0,1998-10-15,7881,Venezia,Defender,,0.0,0.0,0.0,0.0,0.0,35,CB,1699059.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png
8255,Austria,620027.0,Xaver Schlager,2.0,4.0,https://images.fotmob.com/image_resources/playerimages/620027.png,174.0,28.0,1997-09-28,178475,RB Leipzig,Midfielder,6.63,0.0,0.0,1.0,0.0,0.0,"73,66","CM,CDM",5899024.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/178475.png
8255,Austria,1024672.0,Nicolas Seiwald,2.0,6.0,https://images.fotmob.com/image_resources/playerimages/1024672.png,179.0,25.0,2001-05-04,178475,RB Leipzig,Midfielder,6.97,0.0,0.0,0.0,0.0,0.0,"75,64,36","CM,CDM,CB",22928985.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/178475.png
8255,Austria,215151.0,Marcel Sabitzer,2.0,9.0,https://images.fotmob.com/image_resources/playerimages/215151.png,177.0,32.0,1994-03-17,9789,Borussia Dortmund,Midfielder,7.37,1.0,0.0,0.0,0.0,1.0,"64,87,73","CDM,LW,CM",4970411.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/9789.png
8255,Austria,617044.0,Florian Grillitsch,2.0,10.0,https://images.fotmob.com/image_resources/playerimages/617044.png,187.0,30.0,1995-08-07,10264,Braga,Midfielder,6.17,0.0,0.0,0.0,0.0,0.0,"76,66","CM,CDM",1433071.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/10264.png
8255,Austria,423812.0,Phillipp Mwene,2.0,16.0,https://images.fotmob.com/image_resources/playerimages/423812.png,168.0,32.0,1994-01-29,9905,Mainz 05,Midfielder,6.41,0.0,0.0,0.0,0.0,0.0,"79,38,68,62","LM,LB,LWB,RWB",1141885.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/9905.png
8255,Austria,1089685.0,Carney Chukwuemeka,2.0,17.0,https://images.fotmob.com/image_resources/playerimages/1089685.png,188.0,22.0,2003-10-20,9789,Borussia Dortmund,Midfielder,5.91,0.0,0.0,0.0,0.0,0.0,86,CAM,23912526.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/9789.png
8255,Austria,749488.0,Romano Schmid,2.0,18.0,https://images.fotmob.com/image_resources/playerimages/749488.png,167.0,26.0,2000-01-27,8697,Werder Bremen,Midfielder,6.7,1.0,0.0,0.0,0.0,0.0,"85,83,73,87,79","CAM,RW,CM,LW,LM",14290029.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/8697.png
8255,Austria,861668.0,Dejan Ljubicic,2.0,19.0,https://images.fotmob.com/image_resources/playerimages/861668.png,186.0,28.0,1997-10-08,10189,Schalke 04,Midfielder,,0.0,0.0,0.0,0.0,0.0,"83,73,85,64","RW,CM,CAM,CDM",1706966.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/10189.png
8255,Austria,1027194.0,Alexander Prass,2.0,22.0,https://images.fotmob.com/image_resources/playerimages/1027194.png,180.0,25.0,2001-05-26,8226,Hoffenheim,Midfielder,6.23,0.0,0.0,0.0,0.0,0.0,"78,87,103","LM,LW,RW",7950928.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/8226.png
8255,Austria,1327149.0,Paul Wanner,2.0,24.0,https://images.fotmob.com/image_resources/playerimages/1327149.png,185.0,20.0,2005-12-23,8640,PSV Eindhoven,Midfielder,6.32,0.0,0.0,0.0,0.0,0.0,"64,85,74,72","CDM,CAM,CM,RM",22480244.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/8640.png
8255,Austria,461357.0,Alessandro Schöpf,2.0,26.0,https://images.fotmob.com/image_resources/playerimages/461357.png,178.0,32.0,1994-02-07,1954,Wolfsberger AC,Midfielder,,0.0,0.0,0.0,0.0,0.0,"66,77","CDM,CM",393281.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/1954.png
8255,Austria,110148.0,Marko Arnautovic,3.0,7.0,https://images.fotmob.com/image_resources/playerimages/110148.png,192.0,37.0,1989-04-19,8687,FK Crvena Zvezda,Attacker,6.88,2.0,1.0,0.0,0.0,1.0,115,ST,1598243.0,True,14,Doubtful,https://images.fotmob.com/image_resources/logo/teamlogo/8687.png
8255,Austria,198316.0,Michael Gregoritsch,3.0,11.0,https://images.fotmob.com/image_resources/playerimages/198316.png,190.0,32.0,1994-04-18,8406,Augsburg,Attacker,6.72,0.0,0.0,1.0,0.0,0.0,"105,85","ST,CAM",1423838.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/8406.png
8255,Austria,858198.0,Sasa Kalajdzic,3.0,14.0,https://images.fotmob.com/image_resources/playerimages/858198.png,200.0,28.0,1997-07-07,9977,LASK,Attacker,6.53,1.0,0.0,0.0,0.0,0.0,"104,85","ST,CAM",1527585.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/9977.png
8255,Austria,1073498.0,Patrick Wimmer,3.0,21.0,https://images.fotmob.com/image_resources/playerimages/1073498.png,182.0,25.0,2001-05-30,8226,Hoffenheim,Attacker,6.01,0.0,0.0,0.0,0.0,0.0,"87,83,73,85","LW,RW,CM,CAM",14732333.0,,,,https://images.fotmob.com/image_resources/logo/teamlogo/8226.png
