round,roundName,pageUrl,id,home.name,home.id,away.name,away.id
1/16,Round of 32,https://www.fotmob.com/matches/1c-vs-2f/476q5#4653711,4653711,1C,1872,2F,1883
1/16,Round of 32,https://www.fotmob.com/matches/1e-vs-3abcdf/i65weow3#4653703,4653703,1E,1874,3ABCDF,1685711
1/16,Round of 32,https://www.fotmob.com/matches/1f-vs-2c/476q2#4653706,4653706,1F,1875,2C,1880
1/16,Round of 32,https://www.fotmob.com/matches/2e-vs-2i/i660fdi1#4653712,4653712,2E,1882,2I,1685707
1/16,Round of 32,https://www.fotmob.com/matches/1i-vs-3cdfgh/20iu46wbo#4653704,4653704,1I,1685703,3CDFGH,1685712
1/16,Round of 32,https://www.fotmob.com/matches/1a-vs-3cefhi/i65weovz#4653713,4653713,1A,1870,3CEFHI,1685715
1/16,Round of 32,https://www.fotmob.com/matches/1l-vs-3ehijk/20iui8q5h#4653714,4653714,1L,1685706,3EHIJK,1685716
1/16,Round of 32,https://www.fotmob.com/matches/1g-vs-3aehij/i661fjnd#4653710,4653710,1G,1876,3AEHIJ,1685714
1/16,Round of 32,https://www.fotmob.com/matches/1d-vs-3befij/i65xev1g#4653709,4653709,1D,1873,3BEFIJ,1685713
1/16,Round of 32,https://www.fotmob.com/matches/1h-vs-2j/i65weow6#4653708,4653708,1H,1877,2J,1685708
1/16,Round of 32,https://www.fotmob.com/matches/2k-vs-2l/20iuc7xxk#4653707,4653707,2K,1685709,2L,1685710
1/16,Round of 32,https://www.fotmob.com/matches/1b-vs-3efgij/i65zf7c9#4653717,4653717,1B,1871,3EFGIJ,1685717
1/16,Round of 32,https://www.fotmob.com/matches/2d-vs-2g/47zqr#4653716,4653716,2D,1881,2G,1884
1/16,Round of 32,https://www.fotmob.com/matches/2h-vs-1j/i660fdi4#4653715,4653715,1J,1685704,2H,1885
1/16,Round of 32,https://www.fotmob.com/matches/1k-vs-3deijl/20iuk8zk6#4653718,4653718,1K,1685705,3DEIJL,1685718
1/8,Round of 16,https://www.fotmob.com/matches/2a2b-vs-1f2c/20ividfld#4653843,4653843,2A/2B,1685719,1F/2C,1685721
1/8,Round of 16,https://www.fotmob.com/matches/1e3abcdf-vs-1i3cdfgh/20ivoe7ux#4653842,4653842,1E/3ABCDF,1685720,1I/3CDFGH,1685723
1/8,Round of 16,https://www.fotmob.com/matches/1c2f-vs-2e2i/20ivuf04p#4653846,4653846,1C/2F,1685722,2E/2I,1685724
1/8,Round of 16,https://www.fotmob.com/matches/1a3cefhi-vs-1l3ehijk/20iw8gu4j#4653847,4653847,1A/3CEFHI,1685725,1L/3EHIJK,1685728
1/8,Round of 16,https://www.fotmob.com/matches/2k2l-vs-1h2j/20iwkieq0#4653844,4653844,2K/2L,1685729,1H/2J,1685730
